Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Transmission Classification
Sint Maarten,Americas,1972,4598.67,27,62.96,Community transmission
New Zealand,Western Pacific,1970,40.85,25,0.52,Clusters of cases
Liberia,Africa,1969,38.93,84,1.66,Community transmission
Barbados,Americas,1857,646.19,20,6.96,Community transmission
Burundi,Africa,1797,15.11,3,0.03,Community transmission
Turks and Caicos Islands,Americas,1784,4607.68,10,25.83,Clusters of cases
Monaco,Europe,1735,4421.06,20,50.96,Sporadic cases
Seychelles,Africa,1695,1723.49,7,7.12,Community transmission
Sao Tome and Principe,Africa,1431,652.95,19,8.67,Community transmission
Saint Martin,Americas,1377,3561.91,12,31.04,Community transmission
Saint Vincent and the Grenadines,Americas,1370,1234.9,6,5.41,Community transmission
Papua New Guinea,Western Pacific,922,10.31,10,0.11,Community transmission
Bhutan,South-East Asia,861,111.59,1,0.13,Clusters of cases
Guernsey,Europe,760,1202.61,13,20.57,Community transmission
Other,Other,745,,13,,Not applicable
Bermuda,Americas,694,1114.45,12,19.27,Sporadic cases
Faroe Islands,Europe,657,1344.52,1,2.05,Sporadic cases
Mauritius,Africa,595,46.79,10,0.79,Clusters of cases
United Republic of Tanzania,Africa,509,0.85,21,0.04,Pending
Cambodia,Western Pacific,479,2.87,0,0,Sporadic cases
Isle of Man,Europe,436,512.75,25,29.4,No cases
Saint Barthélemy,Americas,425,4299.44,0,0,Sporadic cases
Cayman Islands,Americas,408,620.82,2,3.04,Sporadic cases
Antigua and Barbuda,Americas,381,389.06,9,9.19,Sporadic cases
Bonaire,Americas,369,1764.28,4,19.13,Community transmission
Brunei Darussalam,Western Pacific,184,42.06,3,0.69,Sporadic cases
British Virgin Islands,Americas,151,499.39,1,3.31,Clusters of cases
Grenada,Americas,148,131.53,1,0.89,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,134,232.81,2,3.47,Pending
Dominica,Americas,121,168.08,0,0,Clusters of cases
Timor-Leste,South-East Asia,100,7.58,0,0,Sporadic cases
Fiji,Western Pacific,56,6.25,2,0.22,Sporadic cases
New Caledonia,Western Pacific,50,17.51,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,49,1406.83,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,40,75.2,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,No cases
Holy See,Europe,26,3213.84,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,Clusters of cases
Sint Eustatius,Americas,20,637.15,0,0,Sporadic cases
Montserrat,Americas,19,380.08,1,20,Sporadic cases
Anguilla,Americas,18,119.98,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,6.76,0,0,No cases
Samoa,Western Pacific,3,1.51,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,No cases
Global,,107423526,1376.111337,2360280,30.23553766,
